,error,pre_cap_scale,cap_scale,pose_cap_scale,diffusion_factor
circular_accel_stick_motion.csv
position,0.822467937523,0.13,0.13,0.07,0.99999
rot_vel,90.9806700364,0.13,0.13,0.07,0.99999
vel_angle,1.63988120072,0.13,0.13,0.07,0.99999
vel_mag,3.6092824481,0.13,0.13,0.07,0.99999
y_swing_2.csv
position,0.737785545469,0.13,0.13,0.07,0.99999
rot_vel,59.9474988715,0.13,0.13,0.07,0.99999
vel_angle,1.48200417506,0.13,0.13,0.07,0.99999
vel_mag,3.15623603256,0.13,0.13,0.07,0.99999
z_hop_1.csv
position,0.735129431449,0.13,0.13,0.07,0.99999
rot_vel,85.5067779012,0.13,0.13,0.07,0.99999
vel_angle,1.67476177646,0.13,0.13,0.07,0.99999
vel_mag,2.87083549207,0.13,0.13,0.07,0.99999
deceleration_diabolo_red_2.csv
position,1.02050208264,0.13,0.13,0.07,0.99999
rot_vel,110.137333186,0.13,0.13,0.07,0.99999
vel_angle,1.63136739401,0.13,0.13,0.07,0.99999
vel_mag,4.18356394982,0.13,0.13,0.07,0.99999
throw_1.csv
position,0.764199823007,0.13,0.13,0.07,0.99999
rot_vel,116.537319033,0.13,0.13,0.07,0.99999
vel_angle,1.60357284722,0.13,0.13,0.07,0.99999
vel_mag,3.16300797528,0.13,0.13,0.07,0.99999
acceleration_1.csv
position,0.909293527461,0.13,0.13,0.07,0.99999
rot_vel,64.4846852263,0.13,0.13,0.07,0.99999
vel_angle,1.5901345443,0.13,0.13,0.07,0.99999
vel_mag,4.14166207266,0.13,0.13,0.07,0.99999
