,error,pre_cap_scale,cap_scale,pose_cap_scale,diffusion_factorcircular_accel_stick_motion.csv
position,0.0942738874646,0.15,0.15,0.06,0.99999
rot_vel,90.9806700364,0.15,0.15,0.06,0.99999
vel_angle,0.385204710768,0.15,0.15,0.06,0.99999
vel_mag,0.847366612214,0.15,0.15,0.06,0.99999
y_swing_2.csv
position,0.116880501716,0.15,0.15,0.06,0.99999
rot_vel,59.9474988715,0.15,0.15,0.06,0.99999
vel_angle,0.51549982945,0.15,0.15,0.06,0.99999
vel_mag,0.514846483241,0.15,0.15,0.06,0.99999
z_hop_1.csv
position,0.0732736354412,0.15,0.15,0.06,0.99999
rot_vel,85.5067779012,0.15,0.15,0.06,0.99999
vel_angle,1.09205817863,0.15,0.15,0.06,0.99999
vel_mag,0.670659981715,0.15,0.15,0.06,0.99999
deceleration_diabolo_red_2.csv
position,0.0328281442324,0.15,0.15,0.06,0.99999
rot_vel,110.137333186,0.15,0.15,0.06,0.99999
vel_angle,1.31122694944,0.15,0.15,0.06,0.99999
vel_mag,0.154723569142,0.15,0.15,0.06,0.99999
throw_1.csv
position,0.202673663917,0.15,0.15,0.06,0.99999
rot_vel,116.537319033,0.15,0.15,0.06,0.99999
vel_angle,1.19486650276,0.15,0.15,0.06,0.99999
vel_mag,0.972328945159,0.15,0.15,0.06,0.99999
acceleration_1.csv
position,0.050877629582,0.15,0.15,0.06,0.99999
rot_vel,64.4846852263,0.15,0.15,0.06,0.99999
vel_angle,1.04124454204,0.15,0.15,0.06,0.99999
vel_mag,0.651646373609,0.15,0.15,0.06,0.99999
