Format Version,1.22,Take Name,Take 2020-06-18 diabolo_red_random_felix_3,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,21 Dec 1969 04:27:00 +0900,Total Frames in Take,281546,Total Exported Frames,40,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker
,,stick_right,stick_right,stick_right,stick_right,stick_right,stick_right,stick_right,"stick_right:Marker1","stick_right:Marker1","stick_right:Marker1","stick_right:Marker2","stick_right:Marker2","stick_right:Marker2","stick_right:Marker3","stick_right:Marker3","stick_right:Marker3","stick_right:Marker4","stick_right:Marker4","stick_right:Marker4",diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,"diabolo_red:Marker1","diabolo_red:Marker1","diabolo_red:Marker1","diabolo_red:Marker2","diabolo_red:Marker2","diabolo_red:Marker2","diabolo_red:Marker3","diabolo_red:Marker3","diabolo_red:Marker3",stick_left,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left,"stick_left:Marker1","stick_left:Marker1","stick_left:Marker1","stick_left:Marker2","stick_left:Marker2","stick_left:Marker2","stick_left:Marker3","stick_left:Marker3","stick_left:Marker3","stick_left:Marker4","stick_left:Marker4","stick_left:Marker4"
,,"F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
73578,613.150000,0.403459,0.646801,0.538199,0.359460,0.050043,-0.049433,1.038457,0.033741,-0.056845,1.030539,0.039545,-0.059377,0.996276,0.088776,-0.035270,1.038729,0.038109,-0.046240,1.088285,-0.204515,-0.162139,-0.692244,-0.672817,-0.054047,0.141230,0.373179,-0.095312,0.139866,0.389072,-0.048998,0.139136,0.405962,-0.017830,0.144688,0.324502,0.285915,0.373153,0.650590,0.596441,-0.137871,-0.046433,1.134891,-0.177605,-0.041413,1.144728,-0.133672,-0.047385,1.078839,-0.116972,-0.049264,1.132888,-0.123234,-0.047670,1.183107
73579,613.158333,0.414517,0.654298,0.534480,0.338232,0.046463,-0.050198,1.048138,0.029888,-0.057714,1.040914,0.034077,-0.059766,1.006384,0.084997,-0.035568,1.046740,0.036890,-0.047744,1.098514,-0.028039,0.024648,-0.713596,-0.699562,-0.065920,0.140761,0.373867,-0.109653,0.140523,0.367182,-0.077847,0.138201,0.404783,-0.010260,0.143558,0.349636,0.279229,0.388374,0.634678,0.606944,-0.135977,-0.047899,1.127624,-0.175499,-0.041675,1.137630,-0.132422,-0.051484,1.071635,-0.115158,-0.051220,1.125538,-0.120829,-0.047220,1.175694
73580,613.166667,0.418240,0.655651,0.539027,0.323491,0.042975,-0.050857,1.057848,0.026369,-0.058486,1.050817,0.029877,-0.059814,1.016176,0.081250,-0.035616,1.055953,0.034404,-0.049512,1.108446,0.328022,0.389575,-0.607338,-0.609732,-0.075786,0.140901,0.362568,-0.090969,0.143588,0.321101,-0.108693,0.139191,0.366897,-0.027694,0.139926,0.399706,0.267316,0.392473,0.624404,0.620183,-0.134129,-0.049149,1.121128,-0.173672,-0.041887,1.130316,-0.129835,-0.054762,1.065357,-0.113346,-0.052904,1.119472,-0.119665,-0.047045,1.169366
73581,613.175000,0.419038,0.650519,0.550045,0.314139,0.040155,-0.051338,1.067524,0.023636,-0.058962,1.060287,0.027133,-0.059267,1.025621,0.078246,-0.035596,1.066046,0.031607,-0.051528,1.118144,0.592499,0.646522,-0.331567,-0.347874,-0.070266,0.141648,0.350515,-0.041067,0.145295,0.317479,-0.089871,0.142066,0.323682,-0.079859,0.137582,0.410385,0.253396,0.389568,0.619354,0.632793,-0.132569,-0.049943,1.115329,-0.172256,-0.041972,1.123215,-0.126786,-0.056973,1.059854,-0.111798,-0.053992,1.114353,-0.119436,-0.046834,1.163893
73582,613.183333,0.419122,0.643489,0.562203,0.306900,0.037816,-0.051781,1.077119,0.021407,-0.059343,1.069572,0.025079,-0.058585,1.034931,0.075760,-0.035639,1.076307,0.029019,-0.053555,1.127665,0.690354,0.722400,0.037474,0.012087,-0.055607,0.142038,0.352250,-0.012540,0.143828,0.362219,-0.041405,0.143715,0.322249,-0.112875,0.138571,0.372283,0.241948,0.383265,0.617544,0.642813,-0.131401,-0.050270,1.109848,-0.171226,-0.041846,1.116471,-0.124077,-0.058088,1.054662,-0.110648,-0.054514,1.109530,-0.119653,-0.046631,1.158729
73583,613.191667,0.422608,0.636254,0.572592,0.297860,0.035852,-0.052233,1.086943,0.019469,-0.059655,1.079202,0.023050,-0.057794,1.044593,0.073696,-0.035845,1.086548,0.027192,-0.055637,1.137429,0.593730,0.594684,0.398808,0.367134,-0.047692,0.141217,0.369017,-0.035904,0.140067,0.411644,-0.014515,0.142110,0.367269,-0.092658,0.141475,0.328139,0.235730,0.375803,0.618019,0.649042,-0.130797,-0.050135,1.104647,-0.170709,-0.041466,1.110370,-0.122293,-0.058078,1.049648,-0.110068,-0.054502,1.104798,-0.120119,-0.046493,1.153773
